Source;Target;Weight
424;4;2
785;67;25
274;510;1
711;200;100
6;406;1
639;474;1
4;424;1
640;172;1
474;639;349
190;372;214
600;374;1
600;374;1
289;578;2
289;578;3
578;289;59
802;5;1
6;406;3
802;5;95
146;145;1
4;344;1
4;344;1
146;145;2
701;413;8
90;358;1
358;90;1
90;358;1106
289;578;18
289;578;41
289;578;74
289;578;54
4;344;1
4;344;11
703;474;108
143;310;4
143;310;3
561;631;131
622;39;58
6;406;3
39;622;81
466;173;2
37;36;175
37;36;175
173;466;88
499;63;30
202;697;49
39;622;42
616;6;20
6;27;2
521;268;80
242;33;1
242;33;2
274;510;16
33;242;65
37;301;2
805;499;36
559;204;1
598;694;30
559;204;48
69;37;37
445;624;73
445;624;54
21;20;1
21;20;1
21;20;3
21;20;1
274;440;39
289;578;1
578;289;1
578;289;4
578;289;34
260;459;13
300;301;1
300;301;1
274;440;4
440;274;41
3;357;1
93;481;2
661;683;1
661;683;31
661;683;119
802;5;31
578;176;107
617;279;46
557;419;1
146;145;1
557;8;1
557;8;1
146;145;1
146;145;1
20;21;18
20;21;8
4;424;1
278;335;18
21;20;1
21;20;9
20;21;28
419;557;3
145;146;887
419;557;1
419;557;2
419;557;1
557;419;1
278;335;17
419;557;192
419;557;192
267;269;166
221;4;24
774;586;11
221;4;28
578;289;75
331;257;3
331;257;3
289;578;40
47;449;7
47;449;3
331;257;3
405;682;32
682;405;37
682;405;10
137;454;1
137;454;1
91;90;80
137;454;1
359;560;61
424;266;1
137;454;1
137;454;1
454;137;486
424;785;53
424;4;2
701;174;1
21;20;2
20;21;22
4;424;1
331;257;3
677;351;270
677;351;1
424;4;119
351;677;8
165;166;15
91;64;3
785;424;1
436;522;1
359;560;1
322;113;1
694;598;1
522;436;2784
424;785;2
785;424;117
436;522;19
522;436;1
436;522;136
436;522;55
459;260;6
522;159;371
522;436;1
436;522;103
522;436;1515
289;578;1
258;561;1
267;403;3
403;267;40
258;561;4
139;672;38
183;685;2
258;561;1
388;481;9
258;561;5
623;651;4
227;174;99
651;623;215
225;574;1
4;507;2
623;651;449
479;492;1
300;301;1
300;301;1
300;301;52
492;479;4
492;479;2
289;578;122
578;97;2
225;574;1
386;567;1
643;386;110
90;91;1
91;90;38
278;335;1
419;557;111
448;185;71
419;557;111
628;116;37
335;278;46
584;582;2
584;582;22
289;752;43
289;578;1
405;688;36
47;46;250
289;578;1
278;335;13
448;149;1
289;578;1
448;149;38
578;289;83
405;152;2
278;335;31
289;752;3
301;69;15
152;405;49
424;785;2
785;424;81
424;266;1
144;560;56
785;67;14
424;4;1
364;102;37
364;102;37
521;268;69
149;448;25
4;424;19
650;136;166
448;149;53
561;631;218
424;4;119
48;49;1
49;48;3
782;465;1
465;782;41
47;46;29
491;208;3
651;623;1
225;574;1
682;405;10
13;583;1
13;583;1
39;622;459
37;69;39
149;448;1
149;448;1
448;149;45
786;235;99
786;235;196
272;166;2
639;474;11
682;330;1
682;330;1
682;330;17
666;354;54
666;354;54
703;845;67
289;578;3
354;666;23
90;91;5
91;90;1
420;495;1
495;420;4
289;578;29
90;91;184
628;468;1
628;116;43
436;225;4
289;578;13
69;133;18
85;106;9
341;504;1
341;504;1
341;504;1
85;106;5
85;106;11
85;106;38
474;639;34
85;106;3
682;405;1
405;682;2
405;682;1
682;405;20
405;682;2
405;682;2
405;682;2
495;420;89
85;106;1
85;106;6
595;19;75
85;106;7
85;106;1
465;569;34
595;19;30
623;651;1
165;781;1
165;781;1
289;578;2
688;158;1
688;158;1
665;572;489
651;623;1
688;158;1
688;178;1
178;688;1
688;178;21
379;339;15
682;405;59
560;359;1
360;220;87
144;560;26
681;634;7
49;48;2
37;69;1
37;69;1
490;797;2
300;301;1
300;301;23
474;90;4
688;405;12
799;549;18
207;736;33
688;405;3
48;49;1
48;49;1
557;419;1
634;681;24
13;583;2
13;583;1
583;13;481
106;672;1
583;13;482
342;720;1
37;301;1
66;502;20
634;681;2
681;634;10
37;301;143
37;69;143
495;420;781
268;521;2
48;49;1
85;446;9
380;704;776
358;90;1
23;51;2
200;711;2
23;51;3
200;711;2
23;51;2
51;23;19
49;48;184
19;47;5
19;47;118
211;736;9
48;49;126
186;52;6
300;301;59
85;106;347
144;560;1
560;144;9
560;144;267
560;144;1
560;144;1
560;144;2
358;90;5
144;560;1
454;259;1
37;301;28
37;301;6
235;599;1
235;599;1
335;278;1
454;259;1
578;176;1
578;289;307
636;473;1
636;473;1
636;473;1
636;473;1
636;473;2
636;473;77
636;473;1
636;473;77
687;540;303
37;301;1
37;348;1
52;472;1
472;52;7
472;52;38
449;47;2
299;237;2
299;237;5
47;449;17
47;449;11
37;36;1
299;144;4
144;299;4
250;531;1
250;531;1
250;531;1
250;531;7
48;49;2
49;48;2
250;531;9
250;531;3
250;531;66
388;195;1
388;195;69
364;102;1
237;299;1
364;102;2
374;297;52
678;470;2
517;252;60
374;297;23
470;678;46
678;470;1
678;470;5
678;470;8
388;506;10
289;578;4
578;289;281
104;470;60
297;374;12
272;166;1
166;272;5
144;560;1
560;144;6
557;419;1
419;557;30
557;419;2
405;682;11
572;665;22
419;557;30
144;560;87
158;94;1
178;682;1
94;158;1
178;682;3
94;158;31
846;374;27
186;69;1
158;688;101
243;714;4
152;405;45
634;681;64
301;69;2
207;736;4
48;49;103
405;152;2
289;578;3
69;268;1
96;780;190
628;116;45
301;37;1
268;69;2
676;567;1
47;449;3
13;115;26
449;47;83
466;173;149
47;46;2
47;46;2
37;36;110
37;36;110
301;300;45
69;268;133
116;628;35
736;560;76
171;208;114
185;356;1
36;37;1
36;37;1
36;37;17
36;37;17
157;772;1
405;682;2
49;3;63
289;578;1
567;676;60
356;185;25
578;176;2
578;176;1
331;257;37
578;289;184
578;176;3
171;208;19
176;578;2
176;578;1
444;39;176
137;136;12
595;19;137
639;474;1
474;639;3
474;639;1
175;122;1
39;622;6
673;188;17
622;39;118
639;474;1
632;274;44
474;639;173
225;574;1
102;364;2
331;707;23
627;180;50
424;670;4
153;612;5
153;612;5
144;560;23
144;560;1
300;301;13
634;681;1
670;424;98
19;595;2
670;424;52
595;19;173
221;75;76
221;75;76
23;485;1
500;142;2
102;364;34
102;364;34
512;1;16
584;339;20
652;677;49
297;374;31
263;342;48
263;342;18
299;237;46
254;665;6
572;254;1
254;665;35
572;254;1
91;90;4
424;266;3
664;51;43
190;193;27
736;560;1
560;736;10
190;372;32
301;300;21
485;48;16
485;682;2
485;405;1
683;390;2
390;683;106
3;357;1
3;357;36
612;153;27
612;153;1
153;612;1
612;153;45
601;340;1
116;628;19
628;116;1
628;468;1
322;321;178
628;116;19
206;428;1
405;485;22
51;664;2
52;294;1
